센터ID,센터명,시도,시군구,유형,주소,우편번호,위도,경도,전화번호,팩스번호,홈페이지,설립일,의사인원수,간호사인원수,사회복지사인원수,기타인원_파싱_JSON,운영기관명,운영기관대표자명,운영기관전화번호,프로그램_개수,프로그램_리스트_텍스트,데이터출처
C0001,서울특별시강남구치매안심센터,서울특별시,강남구,치매안심센터,"서울 강남구 선릉로108길 27 (삼성동, 강남구치매지원센터) 4층, 5층",6153.0,37.5103126,127.0463796,02-568-4203,02-568-4280,gangnam.nid.or.kr,2018-12-18,2.0,6.0,4.0,{},삼성서울병원,서상원,02-568-4203,2,치매선별검사 | 인지건강증진프로그램운영 등,파일1+파일2
C0002,서울특별시강동구치매안심센터,서울특별시,강동구,치매안심센터,"서울 강동구 성내로 45 (성내동, 강동구보건소) 별관 강동구치매안심센터",5397.0,37.52954199,127.1255855,02-489-1130,02-489-1137,gangdong.nid.or.kr,2018-10-01,1.0,7.0,6.0,"{""작업치료사"": 6}",강동성심병원,김여진,02-489-1130,5,치매예방및인식개선 | 치매조기검진 | 치매및고위험인지재활프로그램 | 치매치료비지원 | 치매지역자원강화 등,파일1+파일2
C0003,서울특별시강북구치매안심센터,서울특별시,강북구,치매안심센터,"서울 강북구 삼양로 335-1 (수유동, 수유보건지소) 2층 강북구치매안심센터",1098.0,37.63341432,127.0171553,02-991-9830,02-991-1177,gangbuk.nid.or.kr,2018-11-05,0.0,2.0,2.0,"{""작업치료사"": 1, ""행정인력"": 1}",고려대학교의료원 안암병원,이찬녕,02-991-9832,10,조기검진 | 쉼터 | 가족지원 | 인식개선 등치매검진 | 치매치료비 | 조호물품 | 배회인식표 | 가족모임 | 인지건강센터 | 기억친구 등,파일1+파일2
C0004,서울특별시강서구치매안심센터,서울특별시,강서구,치매안심센터,서울 강서구 화곡로 371 (등촌동) 3층,7590.0,37.55695579,126.8522421,02-3663-0943,02-3663-0909,gangseo.nid.or.kr,2018-07-02,1.0,10.0,3.0,"{""운동치료사"": 1, ""작업치료사"": 9, ""임상심리사"": 1}",이화여자대학교 의과대학부속 서울병원,허담,02-3663-0943,6,무료치매검진 및 진단 | 치매예방교육 | 치매예방인지재활프로그램 | 치매가족지지 프로그램 | 실종예방프로그램 | 조호물품지원 등,파일1+파일2
C0005,서울특별시관악구치매안심센터,서울특별시,관악구,치매안심센터,"서울 관악구 관악로 145 (봉천동, 관악구청) 별관 3, 4층",8832.0,37.47821067,126.9515012,02-879-4910,02-879-7910,gwanak.nid.or.kr,2018-07-10,0.0,8.0,3.0,"{""작업치료사"": 4}",서울특별시 관악구보건소,최정화,02-879-4910,5,치매조기검진 및 등록관리 | 치매예방 및 인식개선 | 치매의료비 지원 | 인지건강프로그램 및 치매환자쉼터 운영 | 치매환자 가족지원,파일1+파일2
C0006,서울특별시광진구치매안심센터,서울특별시,광진구,치매안심센터,"서울 광진구 긴고랑로 110 (중곡동, 중곡종합건강센터) 3층 광진구치매안심센터",4922.0,37.55933773,127.0870912,02-450-1381,02-3425-2102,gwangjin.nid.or.kr,2018-07-01,1.0,9.0,4.0,"{""작업치료사"": 4, ""행정인력"": 1}",건국대학교병원,문연실,02-450-1381,7,치매조기검진 | 맞춤형 인지프로그램 운영 | 사례관리 | 조호물품 지원 | 치매치료비지원 | 치매공공후견사업 | 기억키움쉼터 및 가족카페 운영,파일1+파일2
C0007,서울특별시구로구치매안심센터,서울특별시,구로구,치매안심센터,"서울특별시 구로구 디지털로 243, 2층(구로동, 지하이시티 2층) 213호 구로구치매안심센터",8227.0,37.48199214,126.8923489,02-2612-7041~4,02-2612-7045,guro.nid.or.kr,2018-07-01,1.0,11.0,5.0,"{""작업치료사"": 5, ""운동치료사"": 1, ""음악치료사"": 1, ""송영인력"": 1, ""기타"": 1}",고려대학교 구로병원,,02-2612-7041,3,무료치매검사 | 정상 고위험 치매 프로그램 및 인지프로그램 운영 | 치매가족프로그램 등,파일1+파일2
C0008,서울특별시금천구치매안심센터,서울특별시,금천구,치매안심센터,"서울 금천구 시흥대로123길 11 (독산동, 독산1동주민센터) 6층, 7 층",8523.0,37.47021905,126.8970437,02-3281-9082,02-857-0330,geumcheon.nid.or.kr,2018-01-01,1.0,10.0,4.0,"{""작업치료사"": 4}",고려대학교 구로병원,병원장 정희진,02-3281-9082,5,예방 및 인식개선 사업 | 조기검진 사업 | 등록관리사업 | 치매치료관리비 지원사업 | 중증치매노인공공후견사업,파일1+파일2
C0009,서울특별시노원구치매안심센터,서울특별시,노원구,치매안심센터,"서울 노원구 수락산로 212-20 (상계동, 마들보건지소) 4~5층",1616.0,37.6714151,127.0552421,02-911-7778,02-911-7760,nowon.nid.or.kr,2018-01-02,1.0,10.0,8.0,{},인제대학교 상계백병원 위탁,이순형,02-911-7778,5,치매조기검진 | 치매예방 및 등록관리 | 치매치료비 지원 | 쉼터 및 일상생활훈련센터 운영 | 지역자원강화 사업 등,파일1+파일2
C0010,서울특별시도봉구치매안심센터,서울특별시,도봉구,치매상담전화센터,"서울 도봉구 마들로 650 (방학동, 도봉월드상가) 4층 도봉구치매안심센터",1331.0,37.66802835,127.0470647,02-955-3591,02-955-3596,dobong.nid.or.kr,2018-12-13,1.0,7.0,3.0,"{""작업치료사"": 6}",서울노보스병원,오승용,02-955-3591,1,"치매환자의 등록·관리, 치매의 예방·교육 및 홍보, 치매조기검진 등",파일1+파일2
C0011,서울특별시동대문구치매안심센터,서울특별시,동대문구,치매안심센터,"서울 동대문구 홍릉로 81 (청량리동) 홍릉문화복지센터 1,2층",2470.0,37.58751632,127.0427076,02-957-3062,02-957-3065,dongdaemun.nid.or.kr,2008-04-01,1.0,5.0,5.0,"{""기타"": 1, ""음악치료사"": 1, ""작업치료사"": 3, ""행정인력"": 1}",경희의료원,강원섭,02-957-3062,5,치매조기검진 | 치매환자 등록관리 | 치매환자 인지재활프로그램 | 가족치유 프로그램 | 기억키움학교 운영,파일1+파일2
C0012,서울특별시동작구치매안심센터,서울특별시,동작구,치매안심센터,"서울 동작구 남부순환로 2025 (사당동, 동작구치매안심센터) 동작구치매안심센터",7023.0,37.47643044,126.9736224,02-598-6088,02-6280-6099,dongjak.nid.or.kr,2018-12-31,2.0,8.0,3.0,"{""행정인력"": 8}",서울특별시 보라매병원,이재협,02-598-6088,7,치매환자 상담 및 등록관리 | 치매조기검진 | 치매예방관리 | 치매환자쉼터운영 | 치매가족지원 | 치매인식개선및교육홍보 | 치매안심마을운영,파일1+파일2
C0013,서울특별시마포구치매안심센터,서울특별시,마포구,치매안심센터,서울 마포구 대흥로24길 50 (염리동) 3층 치매안심센터,4123.0,37.55463975,126.9487442,02-3272-1578,02-3272-1590,mapo.nid.or.kr,2018-04-04,1.0,12.0,5.0,{},가톨릭대학교서울성모병원,양동원,02-3272-1578,5,치매예방및인식개선사업 | 치매조기검진 및 등록관리사업 | 치매치료비및원인확진검사비지원 | 치매가족지원 | 공공후견사업,파일1+파일2
C0014,서울특별시서대문구치매안심센터,서울특별시,서대문구,치매안심센터,"서울 서대문구 연희로 290 (홍은동, 서대문보건소별관우리들) 서대문구치매안심센터",3653.0,37.58292926,126.9364454,02-379-0183,02-379-0104,seodaemun.nid.or.kr,2018-01-01,1.0,6.0,5.0,"{""작업치료사"": 6, ""음악치료사"": 1, ""행정인력"": 1}",서대문구 치매안심센터,김어수,02-379-0183,5,경증 치매환자 대상 단기 보호(쉼터)운영 | 치매가족교육 | 온라인 치매예방 프로그램 | 치매가족 카페 | 힐링 프로그램 등,파일1+파일2
C0015,서울특별시서초구치매안심센터,서울특별시,서초구,치매안심센터,서울 서초구 방배중앙로 118 (방배동) 3층,6563.0,37.48985373,126.9877701,02-591-1833,02-6959-6988,seocho.nid.or.kr,2018-06-30,1.0,8.0,6.0,"{""작업치료사"": 7}",가톨릭대학교서울성모병원,강동우,02-591-1833,1,"무료치매검사, 고도화장비기반 치매검사, 인지건강프로그램, 치매환자 가족교육 및 지지프로그램, 안심하우스 및 기억키움학교 운영, 치매 홍보서포터즈 운영 등",파일1+파일2
C0016,서울특별시성동구치매안심센터,서울특별시,성동구,치매안심센터,"서울 성동구 왕십리로5길 3 (성수동1가, 성수1가제2동 공공복합청사) 5층",4768.0,37.54640255,127.0443497,02-499-8071,02-499-8075,seongdong.nid.or.kr,2018-01-01,1.0,9.0,3.0,"{""작업치료사"": 4, ""행정인력"": 1}",서울특별시 서울의료원,김희진,02-499-8071,3,치매검진 | 치매예방등록관리 | 지역사회자원 강화,파일1+파일2
C0017,서울특별시성북구치매안심센터,서울특별시,성북구,치매안심센터,"서울 성북구 화랑로 63 (하월곡동, 성북구보건소) 5층",2751.0,37.60271066,127.0395333,02-918-2223,02-918-2216,seongbuk.nid.or.kr,2007-06-27,1.0,11.0,3.0,"{""작업치료사"": 6, ""행정인력"": 1}",건국대학교병원,전홍준,02-918-2223,5,치매조기검진 | 인지카페 기억다방 운영 | 치매안심마을운영 | 기억키움학교 | 치매 찾동 협업 인지강화프로그램 등,파일1+파일2
C0018,서울특별시송파구치매안심센터,서울특별시,송파구,치매안심센터,"서울 송파구 충민로 184 (장지동, 구립송파노인요양센터) 송파구 치매안심센터(1층)",5792.0,37.48579492,127.1343222,02-2147-5050,02-2147-3984,songpa.nid.or.kr,2018-04-01,0.0,11.0,5.0,"{""작업치료사"": 6}",송파구보건소,이영숙,02-2147-5050,3,치매조기검진 | 치매인식개선 및 등록관리사업 | 쉼터 및 인지건강프로그램 운영,파일1+파일2
C0019,서울특별시양천구치매안심센터,서울특별시,양천구,치매안심센터,"서울 양천구 남부순환로 407 (신월동) 신월보건지소 3,4층",7921.0,37.53133706,126.8318233,02-2698-8680,02-2698-8682,yangcheon.nid.or.kr,2018-01-01,1.0,12.0,4.0,"{""작업치료사"": 5, ""임상심리사"": 1, ""운동치료사"": 1}",이화의대부속 목동병원,유경하,02-2698-8680,5,치매검사 | 치매 상담 및 등록관리 | 치매가족지원 | 치매인식개선 | 인지강화 및 치매예방교실 운영 등,파일1+파일2
C0020,서울특별시영등포구치매안심센터,서울특별시,영등포구,치매안심센터,서울 영등포구 당산로29길 9 (당산동3가) 3층,7261.0,37.52598149,126.8939756,02-831-0855,,yeongdeungpo.nid.or.kr,2018-01-01,1.0,9.0,4.0,"{""작업치료사"": 5, ""음악치료사"": 1, ""운동치료사"": 1, ""행정인력"": 1}",한림대학교 강남성심병원,정산,02-831-0855,1,"치매예방 및 인식개선(교육, 홍보)치매조기검진(선별검진, 정밀검진)치매예방등록사업(상담 및 사례관리, 환자 및 가족 지원, 인지건강 프로그램 운영)치매치료비 및 원인확진검사비 지원(저소득 치매환자)치매지역사회 지원강화(지역사회 인적, 물적 자원 연계)치매통합관리 정보시스템 구축 운영",파일1+파일2
C0021,서울특별시용산구치매안심센터,서울특별시,용산구,치매안심센터,"서울 용산구 녹사평대로 150 (이태원동, 용산구종합행정타운) 보건소 지하2층",4390.0,37.53245229,126.9904788,02-790-1541,02-790-1544,yongsan.nid.or.kr,2018-01-02,1.0,9.0,3.0,"{""작업치료사"": 6, ""음악치료사"": 1}",순천향대학교 서울병원,서교일,02-790-1541,9,조기검진사업 | 치매환자등록관리사업 | 치매환자쉼터 운영사업 | 가족모임운영 | 교육 및 인지프로그램 운영 | 치매예방관리사업 | 홍보사업 | 치매파트너 양성 | 지역자원강화사업 등,파일1+파일2
C0022,서울특별시은평구치매안심센터,서울특별시,은평구,치매안심센터,"서울 은평구 연서로34길 11 (불광동, 보건분소) 불광보건지소 1층",3347.0,37.62156247,126.9276913,02-388-8233,02-388-8235,eunpyeong.nid.or.kr,2018-12-19,1.0,9.0,4.0,"{""임상심리사"": 1, ""음악치료사"": 1, ""작업치료사"": 2}",가톨릭대학교 은평성모병원,임은예,02-388-8233,1,"치매 조기검진 및 등록관리, 치료비 지원 및 사례관리, 인지건강프로그램 운영, 치매예방 교육 및 홍보",파일1+파일2
C0023,서울특별시종로구치매안심센터,서울특별시,종로구,치매안심센터,"서울 종로구 평창문화로 50 (평창동, 종로구치매안심센터) 종로구치매안심센터",3011.0,37.60542184,126.9669251,02-3675-9001,02-3675-9007,jongno.nid.or.kr,2019-12-31,1.0,6.0,4.0,"{""작업치료사"": 6, ""행정인력"": 1}",서울대학교병원,박지은,02-3675-9001,5,치매예방 및 인식개선사업 | 치매조기검진 사업 | 치매예방등록관리 사업 | 저소득층 치매치료비 및 원인확진검사비 지원 사업 | 치매지역사회자원강화 사업 등,파일1+파일2
C0024,서울특별시중구치매안심센터,서울특별시,중구,치매안심센터,"서울 중구 퇴계로 460 (신당동, 중구종합복지센터) 11층",4579.0,37.56509826,127.0227631,02-2238-3400,02-2238-5995,junggu.nid.or.kr,2019-12-31,1.0,9.0,3.0,"{""작업치료사"": 4}",국립중앙의료원,,02-2238-3400,6,"치매선별검사 | 맞춤형 치매예방 프로그램 | 지매환자 약제비, 검사비 지원 | 가족 지원(힐링 프로그램, 자조모임, 교육) | 조호물품지원 | 인식개선사업 등",파일1+파일2
C0025,서울특별시중랑구치매안심센터,서울특별시,중랑구,치매안심센터,"서울 중랑구 봉화산로 190 (신내동, 중랑구청 제2청사) 6층",2076.0,37.60625232,127.0941678,02-435-7540,02-435-7547,jungnang.nid.or.kr,2018-01-01,1.0,11.0,3.0,"{""작업치료사"": 7}",서울북부병원,이용주,02-435-7540,3,치매조기검진 | 치매예방등록관리 | 지역사회자원강화,파일1+파일2
C0026,부산광역시강서구치매안심센터,부산광역시,강서구,치매안심센터,"부산 강서구 낙동북로102번길 76 (강동동, 강동보건지소) 2층 치매안심센터",46706.0,35.2162043,128.937671,051-970-2600,051-970-4799,bsgangseo.nid.or.kr,2018-11-15,1.0,9.0,3.0,"{""임상심리사"": 1, ""작업치료사"": 1}",부산광역시 강서구청,천동환,051-970-2600,8,치매상담 | 치매조기검진사업 | 치매예방교실 | 치매환자쉼터 | 치매가족교실 | 치매치료비지원 | 치매환자조호물품지원 | 치매인식개선사업 등,파일1+파일2
C0027,부산광역시금정구치매안심센터,부산광역시,금정구,치매안심센터,"부산 금정구 중앙대로 1777 (부곡동, 금정구청) 금정구청 별관4층 치매안심센터",46274.0,35.24205404,129.0924545,051-519-5678,,bsgj.nid.or.kr,2018-06-20,0.0,10.0,2.0,{},부산광역시 금정구보건소,엄지안,051-519-5678,4,치매조기검진 | 치매예방프로그램 | 치매환자 지원 | 치매 인식 개선사업 등,파일1+파일2
C0028,부산광역시기장군치매안심센터,부산광역시,기장군,치매안심센터,"부산 기장군 정관읍 용수로 11 (용수리, 정관보건지소) 정관보건지소",46014.0,35.32519724,129.1793766,051-709-2984,051-727-0322,gijang.nid.or.kr,2018-11-05,1.0,9.0,4.0,{},기장군보건소,최병무,051-709-2983,5,치매 선별검사 | 치매환자 인지재활 프로그램 | 치매환자가족교실 | 자조모임 | 치매 예방교육 등,파일1+파일2
C0029,부산광역시남구치매안심센터,부산광역시,남구,치매안심센터,"부산 남구 못골로 23 (대연동, 남구보건소) 남구보건소 3층",48452.0,35.13606784,129.0849507,051-607-3781,051-607-3789,bsnamgu.nid.or.kr,2025-06-16,1.0,10.0,3.0,"{""작업치료사"": 2, ""임상심리사"": 1, ""기타"": 1}",남구보건소치매안심센터,센터장 윤민우,051-607-3781,4,치매조기검진 | 인지재활프로그램 | 고위험군 인지강화교실 | 치매예방교실 등,파일1+파일2
C0030,부산광역시동구치매안심센터,부산광역시,동구,치매안심센터,"부산 동구 구청로 14 (수정동, 동구보훈회관) 5~6층",48782.0,35.1283296,129.0450647,051-440-6441,,bsdonggu.nid.or.kr,2018-03-21,0.0,6.0,3.0,"{""작업치료사"": 2, ""임상심리사"": 1}",부산광역시 동구보건소,이정원,051-440-6443,4,치매조기검진 | 쉼터 | 인지재활프로그램 | 가족지원사업 등,파일1+파일2
C0031,부산광역시동래구치매안심센터,부산광역시,동래구,치매안심센터,"부산 동래구 명륜로187번길 56 (명륜동, 동래구보건소) 4층 치매안심센터",47741.0,35.21141256,129.0798533,051-550-6767,051-550-6749,dongnae.nid.or.kr,2018-06-22,3.0,10.0,2.0,"{""임상심리사"": 1, ""작업치료사"": 2}",부산광역시 동래구보건소,정규석,051-555-6767,5,치매상담 및 등록관리 | 치매조기검진 및 예방관리 | 치매환자쉼터 운영 | 치매가족 지원 | 치매인식개선 및 교육홍보 등,파일1+파일2
C0032,부산광역시부산진구치매안심센터,부산광역시,부산진구,치매안심센터,부산 부산진구 새싹로 253 (초읍동) 부산진구 치매안심센터,47104.0,35.17870907,129.04755,051-605-6107,051-605-5999,busanjin.nid.or.kr,2018-12-28,0.0,10.0,6.0,"{""작업치료사"": 2, ""임상심리사"": 1}",부산광역시 부산진구청,김영욱,051-605-6107,4,치매조기검진 | 치매대상자 등록관리 | 치매치료관리비지원 | 치매인식개선 및 홍보 등,파일1+파일2
C0033,부산광역시북구치매안심센터,부산광역시,북구,치매안심센터,"부산 북구 덕천로 123 (덕천동, 덕천3동공영주차장) 행복키움센터 4층 치매안심센터",46575.0,35.2105403,129.0181319,051-309-5281,051-309-5299,bsbukgu.nid.or.kr,2019-08-27,2.0,9.0,3.0,"{""작업치료사"": 3, ""임상심리사"": 1}",북구보건소,김유정,051-309-5281,4,치매조기검진 | 치매치료비지원 | 인지재활프로그램 | 가족교육 등,파일1+파일2
C0034,부산광역시사상구치매안심센터,부산광역시,사상구,치매안심센터,"부산 사상구 학감대로 242 (감전동, 사상구청) 사상구 보건소 2층",46985.0,35.15255072,128.9914561,051-310-4853,051-310-4799,sasang.nid.or.kr,2019-07-15,1.0,11.0,4.0,"{""작업치료사"": 3, ""임상병리사"": 1}",부산광역시 사상구보건소,이정민,051-310-3362,7,치매환자 등록 관리 | 중증치매노인공공후견 | 사례관리 | 치매치료관리비 지원 | 치매조기검진 | 치매환자 쉼터 및 가족지원 | 치매 인식 개선을 위한 홍보 캠페인 등,파일1+파일2
C0035,부산광역시사하구치매안심센터,부산광역시,사하구,치매안심센터,부산 사하구 까치고개로 50-10 (실버힐링센터 2-3층) 실버힐링센터,49347.0,35.10448398,129.0063462,051-220-5971~5,051-202-5720,saha.nid.or.kr,2019-05-14,0.0,7.0,2.0,"{""작업치료사"": 2, ""송영인력"": 1}",부산광역시 사하구보건소,박승아,051-220-5987,3,치매조기검진 | 치료관리비 지원 | 치매 인식 개선을 위한 홍보 캠페인 등,파일1+파일2
C0036,부산광역시서구치매안심센터,부산광역시,서구,광역치매센터,부산 서구 구덕로 127 (토성동5가) 서구가족센터 4층,49252.0,35.09633258,129.022058,051-240-4912,051-240-4799,bsseogu.nid.or.kr,2019-09-30,1.0,0.0,6.0,"{""작업치료사"": 1, ""의무기록사"": 1}",동아대학교병원,안희배,051-240-2560,1,치매예방 챌린지 <기억 쑥쑥 뇌 튼튼 요일표> 프로그램,파일1+파일2
C0037,부산광역시수영구치매안심센터,부산광역시,수영구,치매안심센터,"부산 수영구 수영로 637-5 (광안동, 수영구 보건소) 별관, 수영구치매안심센터",48247.0,35.1624774,129.1134882,051-610-4901,,suyeong.nid.or.kr,2018-12-19,0.0,5.0,2.0,"{""작업치료사"": 3, ""임상심리사"": 1}",부산광역시 수영구보건소,박병건,051-752-4000,1,"치매조기검진, 치매예방프로그램, 치매환자 지원사업, 치매 인식개선 홍보 캠페인 등",파일1+파일2
C0038,부산광역시연제구치매안심센터,부산광역시,연제구,치매안심센터,부산 연제구 중앙대로1038번길 40 (연산동) 시청앞 행복주택 204동(연제구 건강관리센터) 3~4층,47600.0,35.17925419,129.0784461,051-665-5460,051-665-5439,yeonje.nid.or.kr,2018-11-29,2.0,11.0,2.0,"{""임상심리사"": 1, ""작업치료사"": 2}",연제구보건소,신승건,051-665-5481,4,치매상담검진 | 환자 및 가족 지원 | 인식개선홍보 | 치매사례관리,파일1+파일2
C0039,부산광역시영도구치매안심센터,부산광역시,영도구,치매안심센터,"부산 영도구 태종로 423 (청학동, 영도구청) 영도구 보건소 신관 1층",49011.0,35.09121745,129.0679105,051-419-4954,,yeongdo.nid.or.kr,2018-12-18,3.0,8.0,3.0,"{""임상심리사"": 1, ""작업치료사"": 1}",영도구보건소,박성률,051-419-4935,9,치매상담 및 정보 제공 | 치매조기검진 | 치매가구 맞춤형 사례관리 | 치매예방 및 인지강화교실 운영 | 치매환자 단기보호쉼터 운영 | 치매가족교실 및 힐링까페 운영 | 치매치료관리비 지원 | 치매환자 조호물품 지원 | 치매인식개선사업 운영 등,파일1+파일2
C0040,부산광역시중구치매안심센터,부산광역시,중구,치매안심센터,부산 중구 흑교로 48 (보수동1가) 중구복합건강센터 2층,48962.0,35.10377395,129.0253563,051-600-4688,,bsjunggu.nid.or.kr,2019-03-06,1.0,5.0,3.0,"{""작업치료사"": 4, ""임상심리사"": 1}",부산광역시 중구보건소,송교필,051-600-4688,4,치매초기상담 | 조기검진 | 1:1 사례관리 | 치매치료비지원 등,파일1+파일2
C0041,부산광역시해운대구치매안심센터,부산광역시,해운대구,치매안심센터,"부산 해운대구 양운로37번길 59 (좌동, 해운대구보건소) 2관 치매안심센터 3층,4층",48104.0,35.1641127,129.1786594,051-749-0770,051-749-7589,haeundae.nid.or.kr,2019-05-16,4.0,15.0,2.0,"{""임상심리사"": 1, ""작업치료사"": 2, ""행정인력"": 1}",해운대구보건소,안여현,051-749-0770,10,"치매조기검진(선별,정밀) | 치매환자 상담 및 등록관리 | 조호물품지원 | 치매치료비지원 | 치매환자 공공후견인지원 | 치매예방교실 | 인지강화교실 | 인지재활교실 | 가족교실(헤아림) | 가족모임지원 등",파일1+파일2
C0042,대구광역시남구치매안심센터,대구광역시,남구,치매안심센터,"대구 남구 영선길 34 (대명동, 남구 보건소) 5층 치매안심센터",42424.0,35.85389994,128.5915237,053-664-6300,053-664-3709,namdaegu.nid.or.kr,2019-06-11,0.0,9.0,2.0,"{""작업치료사"": 3, ""임상심리사"": 2}",대구광역시 남구보건소,이명자,053-664-3694,1,"치매조기검진사업, 치매환자 및 가족프로그램 운영, 치매예방교육 및 인식개선사업 등",파일1+파일2
C0043,대구광역시달서구치매안심센터,대구광역시,달서구,치매안심센터,"대구 달서구 와룡로 106(본리동, 달서구 치매안심센터) 달서구치매안심센터",42674.0,35.842085,128.5376247,053-667-5771,053-667-5779,dalseo.nid.or.kr,2019-05-20,0.0,13.0,5.0,"{""작업치료사"": 2, ""임상심리사"": 1, ""기타"": 1}",달서구보건소 (직영),이완회,053-667-5780,5,치매예방교실운영 | 치매인지강화교실운영 | 치매쉼터(인지재활교실)운영 | 가족지원프로그램운영 및 자조모임운영 | 치매극복의 날 기념행사 등,파일1+파일2
C0044,대구광역시달성군치매안심센터,대구광역시,달성군,치매안심센터,대구 달성군 현풍읍 현풍중앙로 27 (하리) 달성군보건소 5층 달성군치매안심센터,43004.0,35.69200624,128.4462105,053-668-3841,053-282-8141,dalseong.nid.or.kr,2019-04-24,1.0,11.0,4.0,"{""작업치료사"": 2, ""치위생사"": 1}",달성군보건소,권선영,053-668-3841,3,치매선별검사 | 치매예방프로그램 | 치매인지재활프로그램 등,파일1+파일2
C0045,대구광역시동구치매안심센터,대구광역시,동구,치매안심센터,"대구 동구 동촌로 79 (검사동, 동구보건소) 4층 치매안심센터",41143.0,35.88812209,128.6512166,053-662-3175,053-662-3199,dongdaegu.nid.or.kr,2018-12-20,2.0,10.0,5.0,"{""작업치료사"": 3}",대구동구보건소,정재헌,053-662-3175,1,인지재활 및 가족지지 프로그램,파일1+파일2
