센터ID,센터명,시도,시군구,유형,주소,우편번호,위도,경도,전화번호,팩스번호,홈페이지,설립일,의사인원수,간호사인원수,사회복지사인원수,기타인원_파싱_JSON,운영기관명,운영기관대표자명,운영기관전화번호,프로그램_개수,프로그램_리스트_텍스트,데이터출처
C0046,대구광역시북구치매안심센터,대구광역시,북구,치매안심센터,"대구 북구 성북로 49 (침산동, 북구보건소) 5층",41550.0,35.891715,128.588813,053-665-3135,053-665-3279,bukdaegu.nid.or.kr,2019-07-04,1.0,13.0,4.0,"{""작업치료사"": 4, ""송영인력"": 1, ""임상심리사"": 1, ""행정인력"": 1}",대구북구보건소,이영숙,053-665-3135,9,치매조기검진 | 치매치료관리비지원 | 조호물품 제공 | 치매예방프로그램 | 쉼터운영 | 가족지원 | 치매환자 실종예방사업 | 맞춤형사례관리 | 치매인식개선사업 등,파일1+파일2
C0047,대구광역시서구치매안심센터,대구광역시,서구,치매안심센터,대구 서구 북비산로71길 7 (비산동) 서구치매안심센터,41735.0,35.88016148,128.5723999,053-663-3811,053-663-3819,dgs.nid.or.kr,2019-05-16,0.0,11.0,2.0,"{""행정인력"": 1, ""작업치료사"": 2, ""송영인력"": 1}",대구광역시 서구청,,053-663-3811,4,치매조기검진 | 치매예방프로그램 | 쉼터인지재활프로그램 | 치매가족교실 등,파일1+파일2
C0048,대구광역시수성구치매안심센터,대구광역시,수성구,치매안심센터,"대구 수성구 수성로 213 (중동, 수성구보건소) 별관 2~3층",42152.0,35.84495927,128.6119385,053-666-3181,053-666-4898,suseong.nid.or.kr,2019-03-28,0.0,14.0,4.0,"{""작업치료사"": 4, ""임상심리사"": 2, ""행정인력"": 1}",수성구보건소,여수환,053-666-3181,3,치매조기검진 | 치매환자 및 가족 프로그램운영 | 인식개선활동 및 홍보 등,파일1+파일2
C0049,대구광역시중구치매안심센터,대구광역시,중구,치매안심센터,"대구 중구 태평로 45 (태평로3가, 중구보건소) 3층 중구치매안심센터",41901.0,35.87790606,128.5833355,053-661-3911,053-661-3139,dgjunggu.nid.or.kr,2018-01-23,1.0,7.0,3.0,{},대구광역시중구보건소,황석선,053-661-3911,7,선별검사 | 진단검사 | 상담 | 치매예방교육 | 기억쉼터 운영 및 인지재활프로그램 | 가족교실 운영 | 맞춤형사례관리 등,파일1+파일2
C0050,대구광역시군위군치매안심센터,대구광역시,군위군,치매안심센터,"대구 군위군 군위읍 군청로 70 (동부리, 군위군보건소) 2층 치매안심센터",43120.0,36.22952003,128.5698713,054-380-7491,054-380-6757,gunwi.nid.or.kr,2019-12-23,1.0,6.0,2.0,{},군위군보건소,윤영국,054-380-7491,9,상담및등록관리사업 | 치매조기검진사업 | 치매예방관리사업 | 치매환자쉼터 | 치매지원서비스관리(치매치료관리비 지원) | 치매안심마을운영 | 맞춤형사례관리사업 | 치매가족및보호자지원사업 | 치매인식개선 홍보,파일1+파일2
C0051,인천광역시강화군치매안심센터,인천광역시,강화군,치매안심센터,인천 강화군 강화읍 충렬사로 26-1 (남산리) 강화군보건소 내,23037.0,37.7372942,126.4848586,032-930-4057,032-930-3642,ganghwa.nid.or.kr,2018-12-28,0.0,3.0,7.0,"{""작업치료사"": 2, ""임상심리사"": 2, ""임상병리사"": 1, ""물리치료사"": 2, ""치위생사"": 1, ""행정인력"": 4, ""송영인력"": 4}",인천광역시 강화군보건소,이은경,032-930-4057,7,치매 선별검사 및 진단검사 | 치매예방 프로그램 | 치매환자 돌봄 | 치매환자 지원 | 치매환자 가족 지원 | 치매환자 인지재활 프로그램 | 치매 인식개선 홍보,파일1+파일2
C0052,인천광역시계양구치매안심센터,인천광역시,계양구,치매안심센터,"인천 계양구 계양문화로 63 (계산동, 계양구보건소) 계양구 보건소 4층",21068.0,37.53642762,126.7362452,032-430-7867,032-547-9226,gyeyang.nid.or.kr,2017-12-01,2.0,14.0,1.0,"{""기타"": 2, ""행정인력"": 1, ""송영인력"": 1}",계양구보건소,이미숙,032-430-7867,7,조기검진 및 등록관리 | 치매환자지원사업 | 치매예방관리사업 | 치매환자 쉼터운영 | 치매환자 가족및보호자지원사업 | 치매인식개선사업 | 맞춤형사례관리사업 등,파일1+파일2
C0053,인천광역시미추홀구치매안심센터,인천광역시,미추홀구,치매안심센터,인천 미추홀구 경인로34번길 20 (숭의동) 5층 미추홀구치매안심센터,22169.0,37.46303566,126.6472695,032-728-6520,,michuhol.nid.or.kr,2018-11-30,2.0,23.0,3.0,{},인천광역시 미추홀구보건소,차남희,032-728-6520,6,치매조기검진 | 치매치료관리비지원 | 인지재활프로그램 운영 | 치매가족교육 | 치매관련교육 | 조호물품 제공 등,파일1+파일2
C0054,인천광역시남동구치매안심센터,인천광역시,남동구,치매안심센터,"인천 남동구 소래로 633 (만수동, 남동구청) 남동구 보건소 3층",21589.0,37.44738839,126.7306774,032-453-5910,,namdong.nid.or.kr,2019-01-24,0.0,19.0,1.0,"{""임상심리사"": 1, ""작업치료사"": 2, ""기타"": 13}",남동구보건소,,032-453-5910,4,치매예방교육 | 인지강화 프로그램 | 쉼터 프로그램 | 찾아가는 치매예방교육 및 선별검사,파일1+파일2
C0055,인천광역시동구치매안심센터,인천광역시,동구,치매안심센터,인천 동구 방축로 193 (송림동) 동구치매안심센터,22532.0,37.4798949,126.6665634,032-772-6307,032-760-4949,icdonggu.nid.or.kr,2018-12-21,0.0,11.0,1.0,"{""임상심리사"": 1, ""임상병리사"": 1, ""기타"": 6}",인천광역시 동구보건소,임미숙,032-772-6307,8,상담 및 등록관리 | 치매 조기검진 | 치매예방관리 | 치매환자 쉼터 운영 | 치매지원 서비스 | 치매가족 및 보호자 지원사업 | 치매 인식개선 및 교육·홍보 사업 | 치매 안심마을 운영,파일1+파일2
C0056,인천광역시부평구치매안심센터,인천광역시,부평구,치매안심센터,"인천 부평구 주부토로 65 (부평동, 부평4동 행정복지센터) 6층, 7층 부평구치매안심센터",21359.0,37.50084167,126.7249748,032-509-1308,032-509-1309,icbp.nid.or.kr,2019-09-27,2.0,34.0,1.0,{},인천광역시 부평구보건소,김윤자,032-509-1300,3,치매조기선별검진 | 진단검사 | 인지건강프로그램운영등,파일1+파일2
C0057,인천광역시서구치매안심센터,인천광역시,서구,치매안심센터,"인천 서구 봉오재3로94번길 11 (가정동, MK타워)5층 서구치매안심센터",22731.0,37.52682819,126.6704561,032-718-0630,032-718-0798,seoincheon.nid.or.kr,2019-12-18,0.0,24.0,1.0,{},인천광역시 서구보건소,장준영,032-718-0630,7,치매 선별검사 및 진단검사 | 치매예방 프로그램 | 치매환자 돌봄 | 치매환자 지원 | 치매환자 가족 지원 | 치매환자 인지재활 프로그램 | 치매 인식개선 홍보,파일1+파일2
C0058,인천광역시연수구치매안심센터,인천광역시,연수구,치매안심센터,인천 연수구 예술로20번길 15 (선학동) 연수구치매안심센터,21907.0,37.43578309,126.6996474,1899-9080,032-749-8939,yeonsu.nid.or.kr,2017-12-08,0.0,13.0,1.0,"{""작업치료사"": 2, ""행정인력"": 10}",인천광역시 연수구 보건소,강길원,032-749-8934,4,무료치매검사 | 치매환자등록 | 치매조호물품 | 프로그램 운영,파일1+파일2
C0059,인천광역시옹진군치매안심센터,인천광역시,옹진군,치매안심센터,"인천 미추홀구 매소홀로 120 (용현동, 옹진군청) 옹진군보건소 3층",22193.0,37.44657047,126.6367454,032-721-0520,032-899-3149,ongjin.nid.or.kr,2017-12-01,0.0,1.0,0.0,"{""기타"": 1}",인천광역시 옹진군보건소,박혜련,032-899-3670,3,쉼터 | 치매예방 | 인지강화교실,파일1+파일2
C0060,인천광역시중구치매안심센터,인천광역시,중구,치매안심센터,"인천 중구 참외전로72번길 21 (전동, 중구보건소) 4층 중구치매안심센터",22309.0,37.47721729,126.6291077,032-760-6060,,icjg.nid.or.kr,2018-11-23,0.0,7.0,1.0,"{""작업치료사"": 1}",인천광역시 중구보건소,정한숙,032-760-6063,12,"치매조기검진(선별,진단,감별검사) | 치매환자등록관리 | 맞춤형사례관리 | 치매치료관리비 지원 | 조호물품 지원 | 치매안심마을 만들기 | 공공후견인사업운영 | 치매예방교실 운영(미술활동, 치매예방운동, 보드게임,한지공예,원예교실 등) | 가족힐링프로그램(드라이플라워, 자조모임 등) | 쉼터운영(운동치료,요리치료,미술치료,음악치료,감각활동,전산화인지재활,인지카드학습) | 치매인식개선 및 홍보 사업 | 치매파트너 양성사업 등",파일1+파일2
C0061,광주광역시광산구치매안심센터,광주광역시,광산구,치매안심센터,광주광역시 광산구 용아로379번길 77(산정동 1033) 광산구치매안심센터,62430.0,35.17615122,126.8002346,062-960-6930,062-960-3738,gwangsan.nid.or.kr,2019-12-05,0.0,10.0,2.0,{},광주광역시 광산구보건소,김옥현,062-960-6930,6,치매조기검진 | 인지프로그램 | 가족지원사업 | 사례관리 | 조호물품 | 인식개선 등,파일1+파일2
C0062,광주광역시남구치매안심센터,광주광역시,남구,치매안심센터,광주 남구 효우로 80 (노대동) 남구 치매안심센터,61744.0,35.10631349,126.9035759,062-607-4369,062-675-2041,gjnamgu.nid.or.kr,2020-02-24,0.0,9.0,0.0,"{""기타"": 7}",광주광역시 남구 보건소,,062-607-4361,1,"치매조기검진, 치매인식개선, 치매환자보호자 등록관리",파일1+파일2
C0063,광주광역시동구치매안심센터,광주광역시,동구,치매안심센터,"광주 동구 서남로 14 (서석동, 서남동주민센터) 7층",61468.0,35.14495096,126.923163,062-608-3490,062-608-3499,gjdonggu.nid.or.kr,2018-09-12,1.0,11.0,1.0,"{""행정인력"": 1, ""작업치료사"": 2, ""물리치료사"": 1}",광주광역시 동구보건소,심옥선,062-608-3490,6,치매예방관리(조기검진 | 예방교육 | 인식개선) | 치매등록관리(상담 | 사례관리 | 프로그램),파일1+파일2
C0064,광주광역시북구치매안심센터,광주광역시,북구,치매안심센터,광주광역시 북구 북문대로 234(동림동) 북구치매안심센터 2층,61217.0,35.18696695,126.8668768,062-410-8124,062-510-1447,gjbukgu.nid.or.kr,2019-09-06,1.0,13.0,1.0,"{""행정인력"": 2, ""기타"": 1}",광주광역시 북구 보건소,김은숙,062-410-8124,4,치매조기검진 | 치매치료비지원 | 조호물품 지원 | 인식표배부 등,파일1+파일2
C0065,광주광역시서구치매안심센터,광주광역시,서구,치매안심센터,광주 서구 상무대로884번길 17-20 (쌍촌동),61990.0,35.14885739,126.860335,062-350-4759,062-371-0093,gjseogu.nid.or.kr,2017-12-01,1.0,11.0,1.0,"{""행정인력"": 5, ""기타"": 1, ""임상심리사"": 2, ""작업치료사"": 1}",광주광역시 서구 치매안심센터,이원구,062-350-4759,4,치매조기검진 | 치료관리비 지원 | 치매환자맞춤형사례관리 | 치매인식개선홍보캠페인등,파일1+파일2
C0066,대전광역시대덕구치매안심센터,대전광역시,대덕구,치매안심센터,"대전 대덕구 동춘당로 187 (법동, 법2동행정복지센터) 3층",34406.0,36.36720767,127.4308386,042-608-5426,042-608-3851,daedeok.nid.or.kr,2018-07-20,1.0,13.0,1.0,"{""작업치료사"": 1, ""임상심리사"": 1}",대전광역시 대덕구보건소,이석우,042-608-5426,1,"무료 치매검사, 치매 가족교육, 치매 예방교육, 치매 인지교실, 조호물품 제공 등",파일1+파일2
C0067,대전광역시동구치매안심센터,대전광역시,동구,치매안심센터,"대전 동구 현암로 22 (삼성동) 2, 3층",34563.0,36.34298696,127.4204617,042-621-6011,042-625-6077,djdonggu.nid.or.kr,2018-04-10,0.0,8.0,4.0,"{""행정인력"": 6}",동구 보건소,안옥,042-621-6011,4,치매 조기검진 | 치매예방 및 인지강화 프로그램 | 치매환자 조호물품 등 지원 | 환자가족 상담 및 힐링프로그램 등,파일1+파일2
C0068,대전광역시서구치매안심센터,대전광역시,서구,치매안심센터,"대전 서구 만년로 74 (만년동, 대전서구보건소) 서구보건소 5층(치매안심센터)",35203.0,36.36708849,127.3810998,042-288-4470,042-288-5934,djseogu.nid.or.kr,2018-04-24,1.0,11.0,4.0,{},서구보건소,박경용,042-288-4470,1,"상담, 등록,조기검진,1:1사례관리, 단기쉼터, 치매카페운영",파일1+파일2
C0069,대전광역시유성구치매안심센터,대전광역시,유성구,치매안심센터,대전 유성구 박산로 177 (구암동) 유성구보건소 2층,34174.0,36.35381247,127.3286409,042-611-5018,042-611-5110,yuseong.nid.or.kr,2018-05-31,0.0,6.0,3.0,"{""작업치료사"": 3, ""임상심리사"": 1}",유성구보건소,김주연,042-611-5018,4,치매조기검진 | 치매환자 인지프로그램 | 가족지원사업 | 치매극복의 날 기념행사 등,파일1+파일2
C0070,대전광역시중구치매안심센터,대전광역시,중구,치매안심센터,"대전 중구 중앙로 100 (대흥동, 중구청 제3별관 1층) 중구치매안심센터",34939.0,36.32557502,127.4212953,042-288-8180,042-288-8981,djjunggu.nid.or.kr,2018-08-20,1.0,4.0,1.0,{},중구보건소,구기희,042-288-8180,1,"상담, 등록,조기검진,1:1사례관리, 단기쉼터, 치매카페운영",파일1+파일2
C0071,울산광역시남구치매안심센터,울산광역시,남구,치매안심센터,"울산 남구 삼산중로 132 (삼산동, 울산남구보건소) 남구보건소 별관 치매안심센터",44698.0,35.54535764,129.3363283,052-226-2323,052-226-3227,ulsannamgu.nid.or.kr,2019-04-30,0.0,6.0,1.0,"{""임상심리사"": 1, ""작업치료사"": 4, ""임상병리사"": 1, ""기타"": 1}",남구보건소,공석,052-226-2323,5,상담 및 등록관리사업 | 조기검진사업 | 쉼터운영사업 | 가족지원사업 | 치매인식개선홍보사업,파일1+파일2
C0072,울산광역시동구치매안심센터,울산광역시,동구,치매안심센터,"울산 동구 봉수로 155 (화정동, 동구청) 보건소 1층 치매안심센터",44021.0,35.5050746,129.4164426,052-209-4060,052-209-4079,ulsandonggu.nid.or.kr,2018-08-01,1.0,8.0,1.0,"{""작업치료사"": 2}",울산광역시 동구보건소,박수환,052-209-4060,1,"치매예방 및 인지강화 프로그램, 돌봄 쉼터, 가족교실, 힐링프로그램, 가족 자조모임 운영",파일1+파일2
C0073,울산광역시북구치매안심센터,울산광역시,북구,치매안심센터,"울산 북구 산업로 1018 (연암동, 보건소) 지하1층, 지상1,2층 치매안심센터",44248.0,35.58355486,129.3607106,052-241-8257,052-241-8109,ulsanbukgu.nid.or.kr,2018-10-18,1.0,6.0,1.0,"{""작업치료사"": 3}",울산광역시 북구보건소,신수진,052-241-8257,3,치매 조기검진 | 치매환자 등록관리 | 교육지원,파일1+파일2
C0074,울산광역시울주군치매안심센터,울산광역시,울주,치매안심센터,울산 울주군 웅촌면 은현작동로 49 (검단리) 울주군 치매안심센터,44965.0,35.45690394,129.1768249,052-204-2878,052-204-2879,ulju.nid.or.kr,2018-05-30,,,,{},,,,0,,파일1
C0075,울산광역시중구치매안심센터,울산광역시,중구,치매안심센터,"울산 중구 외솔큰길 225 (남외동, 중구보건소) 2층",44495.0,35.56945595,129.3504156,052-290-4366,052-290-4389,ulsanjunggu.nid.or.kr,2018-10-24,0.0,9.0,1.0,"{""작업치료사"": 2, ""의무기록사"": 1, ""치위생사"": 1, ""시설관리"": 1}",울산광역시 중구보건소,이현주,052-290-4290,3,무료치매선별검사 | 치매예방 인지건강프로그램 | 치매예방 가족교육,파일1+파일2
C0076,세종특별자치시치매안심센터,세종특별자치시,세종시,광역치매센터,"세종특별자치시 조치원읍 대첩로 32 (신흥리, 세종특별자치시보건소) 별관2층 치매안심센터",30029.0,36.59626916,127.2928906,044-301-2311~2318,044-301-2319,sejongansim.nid.or.kr,2019-06-03,1.0,1.0,3.0,"{""작업치료사"": 2}",충남대학교병원,김정란,044-867-2851,4,치매 기획 | 연구 | 교육 | 기술지원사업(광역),파일1+파일2
C0077,경기도가평군치매안심센터,경기도,가평군,치매안심센터,"경기 가평군 가평읍 가화로 155-18 (읍내리, 가평군보건소) 가평군보건소",12413.0,37.83350281,127.510601,031-580-2849,031-580-2559,gp.nid.or.kr,2018-12-26,1.0,5.0,1.0,"{""작업치료사"": 2}",가평군보건소,장우진,031-580-2849,6,맞춤형사례관리 | 인지강화 및 치매예방교실 | 단기쉼터운영 | 치매파트너 및 파트너플러스 양성 | 치매가족지지프로그램 | 인식강화 등,파일1+파일2
C0078,경기도고양시덕양구치매안심센터,경기도,고양시 덕양구,치매안심센터,경기 고양시 덕양구 은빛로 72 (화정동) 내일 꿈 제작소 B동 3층,10498.0,37.63718564,126.8361898,031-8075-4800,,deogyang.nid.or.kr,2018-07-20,,,,{},,,,0,,파일1
C0079,경기도고양시일산동구치매안심센터,경기도,고양시 일산동구,치매안심센터,경기 고양시 일산동구 중앙로 1100 (백석동) 별관 2층 치매안심센터,10421.0,37.64707633,126.7834627,031-8075-4850,031-8075-4886,ilsandonggu.nid.or.kr,2018-04-25,,,,{},,,,0,,파일1
C0080,경기도고양시일산서구치매안심센터,경기도,고양시 일산서구,치매안심센터,"경기 고양시 일산서구 일중로 54 (일산동, 일산서구보건소) 일산서구보건소 2층 치매안심센터",10340.0,37.68447523,126.7757855,031-8075-4871,031-976-2043,goyangiss.nid.or.kr,2018-05-23,,,,{},,,,0,,파일1
C0081,경기도과천시치매안심센터,경기도,과천시,치매안심센터,"경기 과천시 관문로 69 (중앙동, 과천시청) 과천시보건소 별관1층",13806.0,37.43022157,126.9867975,02-2150-3574,02-2150-1542,ghc.nid.or.kr,2020-09-11,1.0,5.0,1.0,"{""작업치료사"": 3, ""임상심리사"": 1}",과천시보건소,류정현,02-2150-3596,15,치매상담 | 등록관리 | 조기검진 | 단기쉼터운영 | 가족지원 | 실종예방지원 | 인식개선사업 | 조호물품 및 치매치료관리비 지원 | 치매예방교실 | 치매가족교실 | 치매파트너교육 | 치매공공후견인 발굴 | 치매안심마을 | 맞춤형사례관리 | 고위험군 인지강화교실 운영 등,파일1+파일2
C0082,경기도광명시치매안심센터,경기도,광명시,치매안심센터,"경기 광명시 소하로 196 (소하동, 광명노인건강센터) 3층 치매안심센터",14322.0,37.44656741,126.894916,02-2680-5830,,gm.nid.or.kr,2018-07-24,1.0,16.0,1.0,"{""작업치료사"": 1, ""행정인력"": 1}",광명시치매안심센터,이현숙,02-2680-5830,5,치매조기검진 | 치매극복의날 기념행사 | 치매서포터즈양성 | 치매안심마을 운영 | 치매인지프로그램운영 등,파일1+파일2
C0083,경기도광주시치매안심센터,경기도,광주시,치매안심센터,"경기 광주시 초월읍 경충대로 1009-40 (쌍동리, 동부건강센터) 2층",12736.0,37.36884855,127.3027557,031-762-8756,031-760-1454,gjcity.nid.or.kr,2018-11-15,0.0,7.0,5.0,"{""작업치료사"": 1}",광주시보건소,조정호,031-760-8719,3,치매 조기검진 | 인지강화 프로그램 | 치매예방교실 등 치매 예방관리 통합서비스 제공,파일1+파일2
C0084,경기도구리시치매안심센터,경기도,구리시,치매안심센터,"경기 구리시 건원대로34번길 84 (인창동, 구리보건소) 4층(구리시 치매안심센터)",11922.0,37.60473625,127.1450794,031-550-8642,031-550-2700,guri.nid.or.kr,2019-03-18,1.0,7.0,1.0,"{""행정인력"": 1, ""임상심리사"": 2, ""작업치료사"": 3, ""기타"": 1}",경기도 구리시보건소,김은주,031-550-8313,7,치매쉼터 운영 | 치매조기검진 | 인지재활프로그램 운영 | 가족카페 운영 | 치매공공후견사업 | 치매환자지원서비스 | 치매극복의날 기념행사,파일1+파일2
C0085,경기도군포시치매안심센터,경기도,군포시,치매안심센터,"경기 군포시 산본로 329 (산본동, 경원빌딩) 8층",15865.0,37.36002061,126.9330897,031-389-4988,031-427-5629,gunpo.nid.or.kr,2018-05-15,0.0,10.0,4.0,{},군포시보건소,,031-389-4988,9,무료 치매검사 | 치매예방프로그램 | 치매환자쉼터 | 치매가족지원프로그램 | 조호물품 지원 | 치매치료관리비 지원 | 치매환자 실종예방 | 치매안심마을 운영 | 치매 인식개선,파일1+파일2
C0086,경기도김포시치매안심센터,경기도,김포시,치매안심센터,"경기 김포시 사우중로73번길 52 (북변동, 래미안 프라자) 4층",10097.0,37.62308177,126.7211346,031-5186-4170,031-981-8983,gimpo.nid.or.kr,2018-05-30,2.0,8.0,1.0,"{""작업치료사"": 3, ""기타"": 1}",김포시 치매안심센터,구영미,031-5186-4169,6,치매선별검사 | 치매예방 및 인지저하 프로그램 | 치매극복 선도학교 운영 | 치매치료관리비 | 치매공공후견인 | 조호물품제공,파일1+파일2
C0087,경기도남양주시치매안심센터,경기도,남양주시,치매안심센터,"경기 남양주시 경춘로 522 (다산동, 남양주시청제2청사) 남양주보건소 2층",12284.0,37.61024303,127.1719612,031-590-8700,031-590-8129,nyj.nid.or.kr,2018-03-15,1.0,5.0,1.0,"{""작업치료사"": 3, ""임상심리사"": 1}",남양주보건소,정태식,031-590-8700,5,치매조기검진 | 치매환자쉼터 | 치매가족지원 | 치매예방관리 | 치매인식개선,파일1+파일2
C0088,경기도남양주시풍양치매안심센터,경기도,남양주시 풍양,치매안심센터,"경기 남양주시 진접읍 금강로 1509-26 (장현리, 진접읍사무소) 진접오남행정복지센터 복지동 2층",12009.0,37.72632836,127.189863,031-590-8381,031-590-6999,nyjpungyang.nid.or.kr,2018-07-30,,,,{},,,,0,,파일1
C0089,경기도동두천시치매안심센터,경기도,동두천시,치매안심센터,경기 동두천시 거북마루로 49 (생연동) 동두천시 보건소 별관 1층,11344.0,37.89626429,127.0516304,031-860-3395,,ddc.nid.or.kr,2019-12-19,0.0,4.0,3.0,"{""행정인력"": 2, ""작업치료사"": 1}",동두천시 보건소,전명옥,031-860-3395,4,"치매조기검사(선별검사,진단검사,감별검사) | 치매예방교육 | 인지강화프로그램 | 치매환자및가족지원프로그램 등",파일1+파일2
C0090,경기도부천시원미치매안심센터,경기도,부천시 원미구,치매안심센터,"경기 부천시 원미구 길주로 410 (춘의동, 치매안심센터) 부천시치매안심센터",14555.0,37.50365381,126.7880109,032-625-9840,032-625-9859,bucheon.nid.or.kr,2019-12-23,,,,{},,,,0,,파일1
C0091,경기도성남시분당구치매안심센터,경기도,성남시 분당구,치매안심센터,"경기도 성남시 분당구 내정로94 (정자동, 한솔마을 주공7단지 아파트) 711동 1층 분당구치매안심센터",13607.0,37.3673875,127.1155094,031-729-8783,031-729-4569,bdseongnam.nid.or.kr,2018-08-01,,,,{},,,,0,,파일1
C0092,경기도성남시수정구치매안심센터,경기도,성남시 수정구,치매안심센터,"경기 성남시 수정구 수정로 218 (신흥동, 수정구보건소) 3층 수정구치매안심센터",13346.0,37.44432902,127.1440618,031-729-3879,031-729-8676,shseongnam.nid.or.kr,2018-07-02,,,,{},,,,0,,파일1
C0093,경기도성남시중원구치매안심센터,경기도,성남시 중원구,치매안심센터,"경기 성남시 중원구 금상로 137 (상대원동, 노인보건센터, 중원구보건소) 노인보건센터 4층 치매안심센터",13200.0,37.44215625,127.1705808,031-739-3030,031-739-3904,jhseongnam.nid.or.kr,2017-12-26,,,,{},,,,0,,파일1
C0094,경기도수원시권선구치매안심센터,경기도,수원시 권선구,치매안심센터,"경기 수원시 권선구 호매실로 22-50 (탑동, 권선구보건소) 권선구보건소 1층",16626.0,37.2587428,126.9711297,031-5191-0425,031-369-2124,gwonseon.nid.or.kr,2019-07-16,,,,{},,,,0,,파일1
