치매센터명,치매센터유형,소재지도로명주소,소재지지번주소,위도,경도,설립연월,건축물면적,부대시설정보,의사인원수,간호사인원수,사회복지사인원수,기타인원현황,운영기관명,운영기관대표자명,운영기관전화번호,운영위탁일자,주요치매관리프로그램소개,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
시흥시 치매안심센터(북부),치매안심센터,경기도 시흥시 호현로 55,경기도 시흥시 대야동 484-3,37.445591,126.7852982158,2019-12,227.0,사무실(1)+회의실(1)+ 검진실(2)+환자쉼터(1)+가족카페(1),0,8.0,1.0,작업치료사(2)+송영및쉼터보조인력(1),시흥시보건소,이형정,031-310-5857,,치매조기검진+치매의료비 및 검진비 지원+치매예방교육+치매환자쉼터 및 가족지원사업 등,031-310-6067,경기도 시흥시청,2025-11-04,4010000,경기도 시흥시
시흥시 치매안심센터(남부),치매안심센터,경기도 시흥시 정왕대로233번길 19,경기도 시흥시 정왕동 1799-5,37.3467224002,126.7401533604,2018-12,449.0,사무실(1)+회의실(1)+교육실(2)+검진및상담실(4)+환자쉼터(1)+가족카페(1),0,3.0,1.0,작업치료사(2)+치위생사(1)+송영및쉼터보조인력(1),시흥시보건소,이형정,031-310-5930,,치매조기검진+치매의료비 및 검진비 지원+치매예방교육+치매환자쉼터 및 가족지원사업 등,031-310-5942,경기도 시흥시청,2025-11-04,4010000,경기도 시흥시
시흥시 치매안심센터(중부),치매안심센터,경기도 시흥시 목감우회로 23,경기도 시흥시 조남동 697,37.381696,126.858765,2020-12,378.0,사무실(1)+회의실(1)+교육실(1)+ 검진및상담실(1)+환자쉼터(1)+가족카페(1),0,4.0,1.0,작업치료사(2)+송영및쉼터보조인력(1),시흥시보건소,이형정,031-310-6825,,치매조기검진+치매의료비 및 검진비 지원+치매예방교육+치매환자쉼터 및 가족지원사업 등,031-310-6823,경기도 시흥시청,2025-11-04,4010000,경기도 시흥시
금산군치매안심센터,치매안심센터,충청남도 금산군 금산읍 비범1길 5,충청남도 금산군 금산읍 중도리 214-3,36.1095223,127.4934473,2018-12,426.61,사무실(1)+쉼터(1)+프로그램실(4),0,8.0,5.0,기타(3),금산군보건소,채기주,041-750-4460,,치매상담+등록관리+조기검진+인지재활프로그램+치매치료관리비지원+치매주간보호센터 운영 등,041-635-4339,충청남도청,2025-11-04,4550000,충청남도 금산군
신안군치매안심센터,치매안심센터,"전라남도 신안군 압해읍 천사로 1004, 보건소 1층",전라남도 신안군 압해읍 신장리 462-10,34.83360218,126.3514253,2022-12,191.3,,0,4.0,1.0,0,전라남도 신안군,박용재,061-243-8081,2019-07-16,치매조기검진+사례관리,061-243-8081,전라남도 신안군,2025-11-05,6460000,전라남도
진도군치매안심센터,치매안심센터,전라남도 진도군 진도읍 남동1길 40-9,전라남도 진도군 진도읍 남동리 776-26,34.48037351,126.2629165,2022-12,459.0,,0,7.0,0.0,작업치료사(1)+행정(3),전라남도 진도군,조기주,061-540-6964,2018-12-18,등록관리+예방교실 운영,061-540-6964,전라남도 진도군,2025-11-05,6460000,전라남도
완도군치매안심센터,치매안심센터,전라남도 완도군 완도읍 농공단지길 34,전라남도 완도군 완도읍 죽청리 483-8,34.33582329,126.7313246,2022-12,308.7,,0,5.0,3.0,작업치료사(2)+행정(1)+기타(1),전라남도 완도군,한광일,061-550-5810,2019-05-31,치매조기검진+사례관리+치료비 지원,061-550-5810,전라남도 완도군,2025-11-05,6460000,전라남도
장성군치매안심센터,치매안심센터,전라남도 장성군 장성읍 성산5길 17,전라남도 장성군 장성읍 성산리 178-2,35.3233003,126.808367,2022-12,495.0,,0,6.0,3.0,작업치료사(1)+임상심리사(1),전라남도 장성군,박보서,061-390-7161,2020-01-29,치매조기검진+상담 및 등록관리+프로그램운영,061-390-7161,전라남도 장성군,2025-11-05,6460000,전라남도
영광군치매안심센터,치매안심센터,전라남도 영광군 영광읍 신남로 4길 17,전라남도 영광군 영광읍 남천리 326-5,35.27468261,126.5041643,2022-12,289.0,,0,7.0,3.0,작업치료사(2)+기타(1),전라남도 영광군,지경현,061-350-4806,2019-03-13,등록관리+프로그램 운영,061-350-4806,전라남도 영광군,2025-11-05,6460000,전라남도
함평군치매안심센터,치매안심센터,전라남도 함평군 함평읍 중앙길 54-8,전라남도 함평군 함평읍 기각리 253,35.06215283,126.524249,2022-12,383.0,,0,8.0,1.0,행정(1),전라남도 함평군,심화섭,061-320-2390,2018-10-05,치매조기검진+쉼터운영,061-320-2390,전라남도 함평군,2025-11-05,6460000,전라남도
무안군치매안심센터,치매안심센터,전라남도 무안군 무안읍 불무로 38-9,전라남도 무안군 무안읍 교촌리 127-10,34.98830267,126.4735676,2022-12,310.4,,0,7.0,2.0,작업치료사(1)+기타(4),전라남도 무안군,김성철,061-450-5075,2018-12-26,치매조기검진+상담 및 등록관리+프로그램운영,061-450-5075,전라남도 무안군,2025-11-05,6460000,전라남도
영암군치매안심센터,치매안심센터,전라남도 영암군 영암읍 오리정길 39,전라남도 영암군 영암읍 춘양리 525,34.79533941,126.7033414,2022-12,390.0,,0,6.0,2.0,작업치료사(1)+기타(2),전라남도 영암군,최문형,061-470-6030,2019-03-26,쉼터+안심마을,061-470-6030,전라남도 영암군,2025-11-05,6460000,전라남도
해남군치매안심센터,치매안심센터,전라남도 해남군 해남읍 해남로 46,전라남도 해남군 해남읍 해리 186,34.57046123,126.6120439,2022-12,872.1,,0,8.0,2.0,작업치료사(1)+기타(1),전라남도 해남군,소은영,061-531-3703,2019-12-03,치매환자쉼터+가족교실+치매예방 및 인지강화교실,061-531-3703,전라남도 해남군,2025-11-05,6460000,전라남도
강진군치매안심센터,치매안심센터,전라남도 강진군 강진읍 목리길 11,전라남도 강진군 강진읍 동성리 66-3,34.63833623,126.77571,2022-12,399.0,,0,6.0,2.0,작업치료사(2)+기타(1),전라남도 강진군,서현미,061-430-5294,2019-09-20,등록관리+치매조기검진+프로그램 운영,061-430-5294,전라남도 강진군,2025-11-05,6460000,전라남도
장흥군치매안심센터,치매안심센터,전라남도 장흥군 장흥읍 동교1길 13,전라남도 장흥군 장흥읍 건산리 752-1,34.67707296,126.9070034,2022-12,335.0,,0,4.0,2.0,작업치료사(1)+기타(1),전라남도 장흥군,박옥란,061-860-6498,2018-11-15,등록관리+조기검진+프로그램 운영,061-860-6498,전라남도 장흥군,2025-11-05,6460000,전라남도
화순군치매안심센터,치매안심센터,전라남도 화순군 화순읍 충의로 40,전라남도 화순군 화순읍 삼천리 701,35.05539364,126.9820968,2022-12,338.6,,0,6.0,4.0,작업치료사(2)+임상심리사(1),전라남도 화순군,박미라,061-379-5317,2019-03-21,치매조기검진+프로그램 운영,061-379-5317,전라남도 화순군,2025-11-05,6460000,전라남도
보성군치매안심센터,치매안심센터,전라남도 보성군 보성읍 갱맹골길 206,전라남도 보성군 보성읍 주봉리 529,34.76645647,127.0712437,2022-12,344.0,,0,8.0,0.0,작업치료사(2)+기타(1),전라남도 보성군,김학성,061-850-8695,2018-11-22,조기검진+치매등록+쉼터+인지강화교실,061-850-8695,전라남도 보성군,2025-11-05,6460000,전라남도
고흥군치매안심센터,치매안심센터,전라남도 고흥군 고흥읍 등암3길 5,전라남도 고흥군 고흥읍 등암리 1258-21,34.5919855,127.2692469,2022-12,466.0,,0,4.0,2.0,작업치료사(3)+행정(4),전라남도 고흥군,박준희,061-830-6969,2019-06-14,조기검진+치매관리,061-830-6969,전라남도 고흥군,2025-11-05,6460000,전라남도
구례군치매안심센터,치매안심센터,전라남도 구례군 구례읍 동편제길 30,전라남도 구례군 구례읍 백련리 576,35.21607284,127.4617801,2022-12,437.0,,0,5.0,3.0,작업치료사(1),전라남도 구례군,김윤길,061-780-2026,2017-11-01,치매쉼터프로그램+치매예방교실+인지강화 교실,061-780-2026,전라남도 구례군,2025-11-05,6460000,전라남도
곡성군치매안심센터,치매안심센터,전라남도 곡성군 곡성읍 곡성로 854,전라남도 곡성군 곡성읍 읍내리 220,35.27886716,127.2969046,2022-12,342.7,,0,6.0,0.0,행정(1),전라남도 곡성군,임인동,061-360-8980,2019-07-10,등록관라+쉼터운영+예방,061-360-8980,전라남도 곡성군,2025-11-05,6460000,전라남도
담양군치매안심센터,치매안심센터,전라남도 담양군 담양읍 완동길 10-5,전라남도 담양군 담양읍 만성리 116-1,35.32470177,126.9807438,2022-12,613.8,,0,7.0,0.0,작업치료사(3)+행정(3),전라남도 담양군,김동진,061-380-2971,2019-01-29,치매환자 쉼터 운영+조기검진,061-380-2971,전라남도 담양군,2025-11-05,6460000,전라남도
광양시치매안심센터,치매안심센터,전라남도 광양시 광양읍 호북길 13-3,전라남도 광양시 광양읍 칠성리 898-3,34.98010194,127.58361,2022-12,593.0,,0,8.0,1.0,작업치료사(2)+행정(1)+기타(3),전라남도 광양시,김복덕,061-797-4059,2018-10-11,치매조기검진+상담등록관리 운영,061-797-4059,전라남도 광양시,2025-11-05,6460000,전라남도
나주시치매안심센터,치매안심센터,전라남도 나주시 풍물시장2길 57-32,전라남도 나주시 이창동 740-1,34.99522645,126.708224,2022-12,827.0,,0,10.0,2.0,작업치료사(4),전라남도 나주시,강동렬,061-339-4771,2018-11-22,치매조기검진+프로그램 운영,061-339-4771,전라남도 나주시,2025-11-05,6460000,전라남도
순천시치매안심센터,치매안심센터,전라남도 순천시 중앙로 232,전라남도 순천시 석현동 35-6,34.96667705,127.4860726,2022-12,738.8,,0,10.0,2.0,작업치료사(2)+임상심리사(1)+행정(2)+기타(1),전라남도 순천시,채연석,061-749-8888,2019-09-17,치매선별검사+인지재활프로그램,061-749-8888,전라남도 순천시,2025-11-05,6460000,전라남도
여수시치매안심센터,치매안심센터,전라남도 여수시 신월로 794,전라남도 여수시 봉강동 323-11,34.73915914,127.7260493,2022-12,876.7,,0,14.0,4.0,작업치료사(2)+기타(3),전라남도 여수시,신준섭,061-659-5440,2019-06-12,등록관리+프로그램 운영,061-659-5440,전라남도 여수시,2025-11-05,6460000,전라남도
광진구치매안심센터,치매안심센터,서울특별시 광진구 긴고랑로110+중곡종합건강센터 3층,서울특별시 광진구 중곡동 125-11+중곡종합건강센터 3층,37.55933917,127.0870892,2023-01,328.43,사무실(1)+상담실(1)+검진실(2)+센터장실(1)+교육실(1)+인지프로그램실(1)+휴게실(2)+다용도실(1),1,9.0,4.0,작업치료사(4)+행정직(1),건국대학교병원,문연실,02-450-1381,2009-02-01,치매조기검진+맞춤형 인지프로그램 운영+사례관리+조호물품 지원+치매치료비지원+치매공공후견사업+기억키움쉼터 및 가족카페 운영,02-450-1966,서울특별시 광진구 보건소,2025-11-03,3040000,서울특별시 광진구
부산광역시 동구보건소 치매안심센터,치매안심센터,부산광역시 동구 구청로 14,부산광역시 동구 수정동 819-54,35.12832585,129.0450622,2018-03,387.92,사무실+검진실+프로그램실+가족카페+다목적홀+옥상정원 등,0,6.0,3.0,작업치료사2+임상심리사1,부산광역시 동구보건소,이정원,051-440-6443,,치매조기검진+쉼터+인지재활프로그램+가족지원사업 등,051-440-6443,부산광역시 동구보건소,2025-11-05,3270000,부산광역시 동구
오산시치매안심센터,치매안심센터,경기도 오산시 경기대로 307,경기도 오산시 오산동 850-1,37.15233882,127.0731395,2017-01,233.0,사무실(2)+상담실(1)+진단검사실(1)+쉼터(1)+프로그램실(1)+가족카페(1),1,8.0,2.0,작업치료사(3)+행정(3),오산시보건소,김태숙,031-8036-6633,,치매환자 등록관리+치매조기검사+치매극복의날 기념행사+치매예방프로그램+인지재활프로그램+가족헤아림교실+치매안심마을운영 등,031-8036-8036,경기도 오산시청,2025-11-05,4000000,경기도 오산시
의왕시치매안심센터,치매안심센터,경기도 의왕시 오봉로 34,경기도 의왕시 고천동 108,37.3437876927,126.9719938053,2019-03,287.82,쉼터(1)+가족카페(1)+검사실(2)+진료실(1)+사무실(2),1,6.0,1.0,작업치료사(4),의왕시보건소,임인동,031-345-3851,,치매조기검진사업+쉼터 운영+가족교실+인지강화교육+치매 치료비지원+치매인식개선+치매안심마을 운영+치매예방교육+조호물품지원+실종예방GPS 및 가스안심콕 제공+맞춤형 사례관리,031-345-3851,경기도 의왕시청,2025-11-06,4030000,경기도 의왕시
함안군 치매안심센터,치매안심센터,경상남도 함안군 군북면 함마대로 768-3,경상남도 함안군 군북면 중암리 106,35.2639061,128.3428857,2018-05,515.13,사무실(1)+쉼터(1)+상담실(1)+검진실(1)+가족카페(1),1,11.0,1.0,작업치료사(2)+간호조무사(2)+임상심리사(1)+치위생사(1)+물리치료사(1),경상남도 함안군,박수귀,055-580-3240,,치매예방교육+치매조기검진사업+치매환자 등록관리+치매치료관리비지원+인지재활프로그램및치매쉼터운영+치매환자가족지원,055-580-3242,함안군보건소,2025-11-10,5400000,경상남도 함안군
옥천군치매안심센터,치매안심센터,충청북도 옥천군 옥천읍 가화4길 18,충청북도 옥천군 옥천읍 금구리 229-9,36.30519083,127.5614242,2019-12,610.0,사무실(2)+건강교실(1)+검사실(2)+가족카페(1)+쉼터(1)+프로그램실(1),0,5.0,0.0,보건주무관(5),옥천군치매안심센터,박성희,043-730-2158,,치매조기검진+치매환자 및 가족지원사업+치매인식개선 홍보 및 교육,043-730-2114,충청북도 옥천군청,2025-09-30,4430000,충청북도 옥천군
증평군치매안신셈터,치매안심센터,충청북도 증평군 증평읍 보건복지로 64-1,충청북도 증평군 증평읍 내성리 57-2,36.77424904,127.5867247,2018-08,117.7,,0,3.0,1.0,임상심리사(1)+작업치료사(1)+기타(4),충청북도 증평군 보건소,조미정,043-835-4782,,치매 기억력 검진+치매환자 인지재활 프로그램+치매환자 가족교실+자조모임+치매 예방교육+치매안심마을 조성,043-835-4783,충청북도 증평군 보건소,2025-11-04,5570000,충청북도 증평군
충청북도 청주시 청원구 치매안심센터,치매안심센터,충청북도 청주시 청원구 오창읍 과학산업3로 238,충청북도 청주시 청원구 오창읍 각리 639-1 청원보건소 치매안심센터,36.71040635,127.4304713,2018-12,457.26,사무실(2)+상담실(2)+검진실(1)+창고(2)+쉼터(1)+휴게실(1)+통신실(1)+카페(1),0,3.0,2.0,작업치료사(4)+임상심리사(2)+행정(3),청주시 청원보건소,정주영,043-201-4377,,치매조기검진+치매치료관리비및검진비지원+치매예방교육+인지강화교실+치매안심마을운영+치매환자맞춤형사례관리+치매공공후견인+치매환자쉼터및가족지원사업+치매파트너운영+돌봄재활사업+등,043-201-4360,청주시 청원보건소,2025-11-07,5710000,충청북도 청주시
충청북도 청주시 흥덕구 치매안심센터,치매안심센터,충청북도 청주시 흥덕구 대농로 88,충청북도 청주시 흥덕구 복대동 3402 흥덕보건소 치매안심센터,36.64147861,127.4315238,2018-08,722.44,사무실(1)+상담실(2)+검진실(1)+창고(1)+프로그램실(1)+쉼터(1)+휴게실(1)+카페(1),0,3.0,4.0,작업치료사(4)+임상심리사(2)+행정(2),청주시 흥덕보건소,홍정희,043-201-4333,,치매조기검진+치매치료관리비및검진비지원+치매예방교육+인지강화교실+치매안심마을운영+치매환자맞춤형사례관리+치매공공후견인+치매환자쉼터및가족지원사업+치매파트너운영+돌봄재활사업+등,043-201-4330,청주시 흥덕보건소,2025-11-07,5710000,충청북도 청주시
충청북도 청주시 서원구 치매안심센터,치매안심센터,"충청북도 청주시 서원구 구룡산로 235, 3층 (수곡동, 위너스빌)",충청북도 청주시 서원구 수곡동 901 서원보건소 치매안심센터,36.616052,127.4713305,2018-10,474.0,사무실(1)+상담실(2)+검진실(1)+쉼터(1)+가족카페(1),0,3.0,2.0,작업치료사(2)+임상심리사(1)+행정(6),청주시 서원보건소,권영권,043-201-3711,,치매조기검진+치매치료관리비및검진비지원+치매예방교육+인지강화교실+치매안심마을운영+치매환자맞춤형사례관리+치매공공후견인+치매환자쉼터및가족지원사업+치매파트너운영+돌봄재활사업+등,043-201-3710,청주시 서원보건소,2025-11-07,5710000,충청북도 청주시
충청북도 청주시 상당구 치매안심센터,치매안심센터,충청북도 청주시 상당구 남일면 단재로 480,충청북도 청주시 상당구 남일면 효촌리 92-2 상당보건소 치매안심센터,36.58855535,127.5053143,2019-06,992.92,사무실(1)+상담실(2)+검진실(1)+쉼터(1)+가족카페(1)+휴게실(1)+사랑방(1)+샤워실(1)+대회의실(1)+소회의실(1)+통신실(1),0,2.0,3.0,작업치료사(3)+임상심리사(1)+행정(5),청주시 상당보건소,방영란,043-201-3637,,치매조기검진+치매치료관리비및검진비지원+치매예방교육+인지강화교실+치매안심마을운영+치매환자맞춤형사례관리+치매공공후견인+치매환자쉼터및가족지원사업+치매파트너운영+돌봄재활사업+등,043-201-4306,청주시 상당보건소,2025-11-07,5710000,충청북도 청주시
충청북도광역치매센터,광역치매센터,"충청북도 청주시 서원구 1순환로 767, 지오빌딩 3층",충청북도 청주시 서원구 개신동 50-5 지오빌딩 3층,36.625449,127.463825,2013-12,333.2,사무실(2)+회의실(1)+교육실(1)+세미나실(1)+비품보관실(1),1,0.0,4.0,작업치료사(3)+임상심리사(1),충북대학교병원,김아련,043-269-6891,2019-12-27,치매인력전문화교육+치매극복의날기념식+치매극복걷기대회+치매파트너운영+치매특화사업개발+치매연구조사+등,043-220-3192,충청북도청 보건정책과,2025-11-07,5710000,충청북도 청주시
부산광역시 수영구 치매안심센터,치매안심센터,부산광역시 수영구 수영로 637-5(광안동),부산광역시 수영구 광안동 661-1,35.16247327,129.1134875,2018-12,565.18,,0,5.0,2.0,작업치료사(3)+임상심리사(1),부산광역시 수영구보건소,박병건,051-752-4000,,"치매조기검진, 치매예방프로그램, 치매환자 지원사업, 치매 인식개선 홍보 캠페인 등",051-752-4000,부산광역시 수영구보건소,2025-11-10,3380000,부산광역시 수영구
영통구치매안심센터,치매안심센터,경기도 수원시 영통구 영통로 396,경기도 수원시 영통구 영통동 961-18,37.2568819,127.0697092,2018-01,440.78,사무실(2)+프로그램실(3)+상담실(4)+휴게실(1),1,8.0,4.0,작업치료사(2),영통구보건소,이민희,031-5191-0824,,치매조기검진+치매치료관리비지원+인지프로그램운영+치매가족지지프로그램 운영 등,031-5191-0821,경기도 수원시 영통구보건소,2025-11-14,3740000,경기도 수원시
팔달구치매안심센터,치매안심센터,경기도 수원시 팔달구 팔달산로 6(교동),경기도 수원시 팔달구 교동 56-1,37.271433,127.0125194,2019-06,426.0,사무실(2)+프로그램실(3)+상담검진실(3)+가족카페(1)+원예작업장(1),6,10.0,2.0,작업치료사(2),팔달구보건소,최향란,031-5159-0630,,치매조기검진+치매치료관리비지원+인지프로그램운영+치매가족지지프로그램 운영 등,031-5159-0622,경기도 수원시 팔달구보건소,2025-11-14,3740000,경기도 수원시
대구달서구치매안심센터,치매안심센터,대구광역시 달서구 와룡로 106,대구광역시 달서구 본리동 64-1,35.84208791,128.5376272,2019-05,533.52,사무실(1)+상담실(3)+쉼터(1)+프로그램실(1)+진단검사실(1),0,13.0,5.0,작업치료사(2) + 임상심리사(1) + 기타(1),달서구보건소 (직영),이완회,053-667-5780,,치매예방교실운영+치매인지강화교실운영+치매쉼터(인지재활교실)운영+가족지원프로그램운영 및 자조모임운영+치매극복의 날 기념행사 등,053-667-5780,대구광역시 달서구보건소,2025-04-03,3470000,대구광역시 달서구
경주시 치매상담센터,치매안심센터,경상북도 경주시 봉황로 178,경상북도 경주시 성건동 620-83,35.85535748,129.2105107,2019-10,633.0,상담실1+검진실3+다목적실+교육장+자원봉사자실+사무실,0,15.0,2.0,행정(4)+작업치료사(1)+임상심리사(1),경주시보건소,경주시보건소장(진병철),054-760-2950,,치매조기검진+치매치료비지원+치매쉼터운영+치매가족프로그램 운영+치매예방교육 및 상담+치매인식개선사업+치매보듬마을 조성,054-779-8614,경상북도 경주시청,2025-04-07,5050000,경상북도 경주시
의령군치매안심센터,치매안심센터,경상남도 의령군 의령읍 의병로8길 16-1,경상남도 의령군 의령읍 서동리 534,35.31740278,128.2554461,2020-07,67195.0,사무실(1)+상담실(1)+검진실(1)+진료실(1)+쉼터(1)+가족카페(1)+프로그램실(1),0,9.0,2.0,6,의령군보건소,조미경,055-570-4072,,치매환자쉼터+치매예방교실+맞춤형 사례관리,055-570-4072,경상남도 의령군청,2024-11-19,5390000,경상남도 의령군
광주시 치매안심센터,치매안심센터,경기도 광주시 초월읍 경충대로 1009-40 (쌍동리),경기도 광주시 초월읍 쌍동리 163-7,37.36884573,127.3027505,2018-11,958.0,,0,7.0,5.0,작업치료사(1),광주시보건소,조정호,031-760-8719,,치매 조기검진+ 인지강화 프로그램+ 치매예방교실 등 치매 예방관리 통합서비스 제공,031-760-2000,경기도 광주시청,2025-06-25,5540000,경기도 광주시
원주시치매안심센터,치매안심센터,강원특별자치도 원주시 지니기길 11-20,강원특별자치도 원주시 무실동 708-9,37.32470828,127.9252620818,2020-01,954.68,"사무실(2)+검진, 교육, 행사 등 운영공간(9)+ 창고 등(5)",0,14.0,1.0,행정1+ 의무기록사1+임상심리사1+간호조무사2+방사선사1+치위생사1+작업치료사2,원주시보건소(치매안심과),임영옥,033-737-4541,,"치매조기검사  및 환자 등록, 맞춤형사례관리, 교육프로그램 운영등",033-737-4541,강원특별자치도 원주시청,2025-06-30,4191000,강원특별자치도 원주시
경상북도고령군치매안심센터,치매안심센터,경상북도 고령군 대가야읍 왕릉로 56-5,경상북도 고령군 대가야읍 지산리 232-8,35.72523517,128.2648137,2022-12,147.86,사무실(1)+프로그램실(1)+교육실(1)+치매카페(1)+상담실(1)+화장실(남/여)+탕비실(1)+대기실(1),1,4.0,3.0,작업치료사(2),고령군보건소,한혜연,054-950-7961,2018-08-14,무료치매검사+치매극복의날기념행사+치매홍보서포터즈 운영+치매환자쉼터+인지향상프로그램+예방프로그램+가족교실+가족자조모임+힐링프로그램+우리마을예쁜치매쉼터+치매안심마을 등,054-954-1300,경상북도 고령군청,2025-06-25,5200000,경상북도 고령군
김제시 치매안심센터,치매안심센터,전북특별자치도 김제시 동서8길 52,전북특별자치도 김제시 요촌동 141-8,35.797404,126.888751,2017-12,3694.0,,0,10.0,3.0,작업치료사(5)+임상심리사(2)+물리치료사(2)+기타보건인력(6),전북특별자치도 김제시 보건소,김정아,063-547-4000,,"인지재활프로그램, 인지강화프로그램, 쉼터카페제공,치매치료비지원, 치매선별검사 및 진단검사 등",063-540-1327,김제시 보건소 치매재활과,2025-07-02,4711000,전북특별자치도 김제시
함평군보건소,치매안심센터,전라남도 함평군 함평읍 중앙길 54-8,전라남도 함평군 함평읍 기각리 253,35.0621528289,126.524248,2017-12,382.0,사무실(1)+검진실(2)+상담실(1)+가족카페(1)+프로그램실(2),0,9.0,1.0,물리치료사(1),함평군보건소,심화섭,061-320-2390,,치매조기검진+치매예방교실+인지향상프로그램+치매치료관리비지원+치매환자등록관리+실종예방사업,061-320-2390,전라남도 함평군청,2025-05-14,4960000,전라남도 함평군
울릉군치매안심센터,치매안심센터,경상북도 울릉군 울릉읍 울릉순환로 396-18,,37.48590672,130.8994626,2018-05,72.0,치매단기쉼터,1,4.0,2.0,0,울릉군보건의료원,김영헌,054-790-6827,,치매치료관리비지원,054-880-3805,경상북도 보건정책과,2023-06-16,5260000,경상북도 울릉군
양양군 치매안심센터,치매안심센터,강원특별자치도 양양군 양양읍 양양로 9-5,강원특별자치도 양양군 양양읍 연창리 203-5,38.077845,128.627487,2019-08,309.0,사무실+검진실+상담실+쉼터,0,5.0,1.0,작업치료사(2)+행정(1),양양군 보건소,신승주,033-670-2496,,치매환자 등록관리/인지재활 프로그램/쉼터 프로그램,033-670-2565,양양군 보건소,2024-11-26,4351000,강원특별자치도 양양군
공주시치매안심센터,치매안심센터,충청남도 공주시 옛군청뒷길 8,충청남도 공주시 교동 131,36.45701715,127.1201721,2022-11,466.66,상담실+검진실+쉼터+가족카페,0,12.0,2.0,작업치료사4+담당 공무원7,공주시보건소,공주시보건소장(김기남),041-840-3315,2018-03-21,치매조기검진+치매노인 지문등록+치매치료관리비 지원+조호물품(위생물품) 제공+치매예방교실+인지강화교실+인지재활프로그램+기타 인지자극 프로그램+헤아림 가족교실+치매가족 힐링 프로그램+치매공공후견 사업+치매어르신주간보호소 운영(위탁)+치매안심마을 운영+치매인식 개선과 교육 및 홍보 사업+배회가능 어르신 인식표 발급 및 GPS 운영,041-840-3315,공주시보건소,2025-09-30,4500000,충청남도 공주시
용인시기흥구치매안심센터,치매안심센터,경기도 용인시 기흥구 신갈로58번길 11,경기도 용인시 기흥구 신갈동 60-3,37.272634,127.106729,2024-09,702.2,사무실(2)+프로그램실(3)+카페(1)+검진실(2),2,14.0,4.0,작업치료사 (4)+기타(3),경기도 용인시 기흥구보건소,권봉정,031-6193-0369,,치매검사+치매예방교실+치매가족교실+치매환자 쉼터 운영사업+치매치료관리비 지원+조호물품 제공 등,031-6193-0369,기흥구보건소,2025-11-27,4050000,경기도 용인시
용인시수지구치매안심센터,치매안심센터,"경기도 용인시 수지구 문정로 20, 3층",경기도 용인시 수지구 풍덕천동 719-4,37.32276658,127.0963428,2024-11,588.46,대기실(1)+사무실(1)+교육실(1)+프로그램실(2)+진료실(2)+상담실(2)+문서고(1)+가족카페(1)+창고(2)+탕비실(1),2,11.0,4.0,작업치료사(1)+물리치료사(2),경기도 용인시 수지구보건소,허선수,031-6193-0881,,상담 및 등록관리사업+치매조기검진 및 예방관리사업+치매환자쉼터 운영사업+치매가족 지원사업+치매인식개선 및 교육 홍보사업+치매안심마을 운영,031-6193-0881,수지구보건소,2025-11-27,4050000,경기도 용인시
용인시처인구치매안심센터,치매안심센터,경기도 용인시 처인구 중부대로 1199,경기도 용인시 처인구 삼가동 556,37.24086733,127.1779684,2024-09,281.0,사무실(1)+가족카페(1)+치료실(1)+검진실(1)+쉼터(1)+채움(1)+공감(1),4,9.0,4.0,작업치료사(2)+기타직군(2),경기도 용인시 처인구보건소,강경신,031-6193-0199,,무료치매검사+치매예방프로그램 운영+치매환자 및 가족프로그램 운영+치매인식개선 사업 등,031-6193-0199,처인구보건소,2025-11-27,4050000,경기도 용인시
단양군치매안심센터,치매안심센터,충청북도 단양군 단양읍 수변로 83,충청북도 단양군 단양읍 도전리 632,36.98284257,128.3707522,2018-11,309.0,,0,2.0,2.0,방문상담원(6),충청북도 단양군 보건소,임은주,043-420-3201,,인지재활,043-420-3201,충청북도 단양군 보건소,2025-09-30,4480000,충청북도 단양군
